date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:17	73424/73424	---MCZ	200	added ('OK')	text/html	etag:cacheable:8557e682762cd245eb1d88d8e804b928	https://oldiesoldies.com/collections/select/products/turquoise-925-silver-ring-wider	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select/products/turquoise-925-silver-ring-wider.html	(from https://oldiesoldies.com/collections/select)
22:02:18	51147/51147	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:a300be742253b4586ccf7439844f7f39	https://oldiesoldies.com/collections/vintage.atom	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage.atom	(from https://oldiesoldies.com/collections/vintage)
22:02:19	101197/101197	---MCZ	200	added ('OK')	text/html	etag:cacheable:c1ecaa90629188b88efd8994eb11076b	https://oldiesoldies.com/collections/vintage?page=2	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage4658.html	(from https://oldiesoldies.com/collections/vintage)
22:02:20	70815/70815	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:162266e859e5132b9b5fa266e1ded1a7	https://oldiesoldies.com/collections/vintage.oembed	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage.oembed	(from https://oldiesoldies.com/collections/vintage)
22:02:21	93655/93655	---MCZ	200	added ('OK')	text/html	etag:cacheable:d803728cb891dc884160d42633b4bc7d	https://oldiesoldies.com/collections/vintage/products/vintage	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage.html	(from https://oldiesoldies.com/collections/vintage)
22:02:22	98290/98290	---MCZ	200	added ('OK')	text/html	etag:cacheable:85a54ed52c3259dd770646942a5c1871	https://oldiesoldies.com/collections/vintage/products/1980s-vintage-necklace-1	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/1980s-vintage-necklace-1.html	(from https://oldiesoldies.com/collections/vintage)
22:02:23	88740/88740	---MCZ	200	added ('OK')	text/html	etag:cacheable:4c62b12bf910016f7a954430ceda9f64	https://oldiesoldies.com/collections/vintage/products/1980s-vintage-necklace	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/1980s-vintage-necklace.html	(from https://oldiesoldies.com/collections/vintage)
22:02:24	104970/104970	---MCZ	200	added ('OK')	text/html	etag:cacheable:df58d7f62f2083e6d4bf7253a3b19a0a	https://oldiesoldies.com/collections/vintage/products/vintage-belt-38	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage-belt-38.html	(from https://oldiesoldies.com/collections/vintage)
22:02:25	136900/136900	---MCZ	200	added ('OK')	text/html	etag:cacheable:5f4ccf52521a914b9a637caef4d22265	https://oldiesoldies.com/collections/vintage/products/vintage-vivienne-westwood-backpack	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage-vivienne-westwood-backpack.html	(from https://oldiesoldies.com/collections/vintage)
22:02:26	104930/104930	---MCZ	200	added ('OK')	text/html	etag:cacheable:b2396e51110d1538a3bc320003b93446	https://oldiesoldies.com/collections/vintage/products/vintage-belt-37	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage-belt-37.html	(from https://oldiesoldies.com/collections/vintage)
22:02:27	108494/108494	---MCZ	200	added ('OK')	text/html	etag:cacheable:5f9032a07f5341ebfedb5179b9ef497e	https://oldiesoldies.com/collections/vintage/products/vintage-belt-36	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage-belt-36.html	(from https://oldiesoldies.com/collections/vintage)
22:02:28	124947/124947	---MCZ	200	added ('OK')	text/html	etag:cacheable:e7bc4b25ec154a30f6cf97c25e9572d6	https://oldiesoldies.com/collections/vintage/products/vintage-belt-35	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage/products/vintage-belt-35.html	(from https://oldiesoldies.com/collections/vintage)
